wkt,id,line,buildstart,opening,closure,length
"LINESTRING (-58.3852255938481 -34.6222669393602,-58.3910516809029 -34.6226931052064,-58.3972230175609 -34.6231547824034,-58.3979566729678 -34.6232258094364,-58.4022938711086 -34.623811780139,-58.408724485398 -34.624625891856,-58.4146615753957 -34.6253152667391)",20,E,1938,1944,,2721.76
"LINESTRING (-58.4146615753957 -34.6253152667391,-58.4158855905226 -34.6254453735449)",21,E,,1960,,113.17
"LINESTRING (-58.4158855905226 -34.6254453735449,-58.4208510372833 -34.6261733776935,-58.4266339681377 -34.6270079111322)",22,E,1960,1966,,1000.77
"LINESTRING (-58.3852255938481 -34.6222669393602,-58.3845135165414 -34.6222136684756,-58.3832835648298 -34.6219650705622,-58.3822370269699 -34.6216543221232,-58.3819457226171 -34.6215477795334,-58.3817623087654 -34.6214146011038,-58.381622051114 -34.621263665292,-58.3815788949136 -34.6210505789727,-58.3815788949135 -34.6207398271096,-58.3816004730132 -34.618262649223,-58.381589683963 -34.6179341290401,-58.3815757867881 -34.6178518884476,-58.3815387167313 -34.6177702271774,-58.3814819205791 -34.617703848347,-58.3813523248607 -34.617561212662,-58.3783098127314 -34.6136277307333,-58.3778163242792 -34.612979463331,-58.3776668009481 -34.6128181408185,-58.3760441122096 -34.6113812116069,-58.3741634084429 -34.6096924137172,-58.3736762081834 -34.6092787035911)",23,E,1957,1966,,1936.04
"LINESTRING (-58.3736762081834 -34.6092787035911,-58.3735114946929 -34.609182268429,-58.3733792168342 -34.6091213118627,-58.3719334841204 -34.6083753982483,-58.3713454808899 -34.6080601589325,-58.3706927433586 -34.6076383579758,-58.3701371072783 -34.6071721544256,-58.3699914551019 -34.6068258300938,-58.370023822252 -34.6062441795685,-58.3700777675025 -34.605884531022,-58.3701371072779 -34.6051741095625,-58.3702180251535 -34.6043482369762,-58.3703582828045 -34.6026121016937,-58.3704230171049 -34.6019904587526,-58.3705039349805 -34.6011823159727,-58.370563274756 -34.6007649204683,-58.3708491845835 -34.5996326135892,-58.3708491845835 -34.5996326135892,-58.3709732586594 -34.5988155668605,-58.3711296998858 -34.5983581948801,-58.3717662538415 -34.5971858899271,-58.3724189913725 -34.5958981116888,-58.3728991041017 -34.5949300445301,-58.3730231781778 -34.5944815325639,-58.3731040960535 -34.5943616329075,-58.373265931805 -34.5941395960514,-58.3736327595084 -34.5938198619361,-58.3741506339132 -34.5934779227011,-58.3744850944663 -34.5932736466423,-58.3762652877328 -34.5922122912092)",24,E,2008,,,2246.90
"LINESTRING (-58.4266339681377 -34.6270079111323,-58.4338896043311 -34.6280288714765)",25,E,1969,1973,,674.91
"LINESTRING (-58.4338896043311 -34.6280288714765,-58.4387509469943 -34.6287704097567,-58.439171899609 -34.6288282727499,-58.4393422849167 -34.6288788379639,-58.4394746810832 -34.6289605173314,-58.4395883281993 -34.629093000282,-58.4397229469073 -34.6292193079762,-58.441847315826 -34.6308346241358,-58.442147822594 -34.6311055770066,-58.4423106732236 -34.6314040315119,-58.4428380299218 -34.63306524352,-58.4430096250851 -34.6333430225963,-58.4431658696462 -34.6334927005093,-58.4437647428185 -34.6339078285605,-58.4448919655857 -34.6347027626067,-58.4465955761407 -34.635815172606,-58.4472728482782 -34.6360811336337,-58.4481662147351 -34.6363309418417,-58.4487618706552 -34.6363945692059,-58.4493861545226 -34.636417102108,-58.4501059633614 -34.6363906322946,-58.4521794674021 -34.6364187190956,-58.4531458040165 -34.6366147802976,-58.4539539218401 -34.6370203814798,-58.4551293369068 -34.637638835413,-58.4580570765604 -34.6399421030128)",26,E,1977,1985,,2756.39
"LINESTRING (-58.4580570765604 -34.6399421030128,-58.4607759171864 -34.6419304375447,-58.4619087674472 -34.6430133480565)",27,E,1977,1986,,491.66
"LINESTRING (-58.4060322769657 -34.6090458328199,-58.4059459645651 -34.610075893921,-58.4059028083649 -34.6113012947927,-58.4055791368621 -34.6125977137059,-58.4048239033556 -34.6150129059076,-58.4045002318527 -34.6160428929725,-58.4040255136485 -34.6173569958446,-58.403507639244 -34.6189552010285,-58.4032055458414 -34.6198785944408,-58.4028387181382 -34.6211393650096,-58.4023424218339 -34.6228973089004,-58.4019324379304 -34.6247617541517,-58.4016303445279 -34.6262532801909,-58.4013066730251 -34.6276204888407,-58.4010477358229 -34.6288101195952,-58.4008319548212 -34.6301062650299,-58.4006377519196 -34.6312248400164,-58.4003140804167 -34.6321303420541,-58.3988970111623 -34.6359258170919)",28,H,2001,2007,,3060.59
"LINESTRING (-58.4060322769657 -34.6090458328199,-58.4061185893662 -34.6077493584421,-58.4061185893661 -34.6072875955554,-58.4058380740632 -34.6060443750196,-58.4052554653573 -34.6038598138463,-58.4048239033528 -34.6018350472969,-58.404241294647 -34.5999523253372)",29,H,2006,2010,,1027.38
"LINESTRING (-58.3988970111623 -34.6359258170919,-58.3986282510861 -34.6366566440566,-58.3985968740491 -34.6367643983486,-58.3985857390032 -34.6368525989341,-58.3986020044782 -34.6369183840538,-58.3986608925342 -34.6369902762579,-58.3987624839378 -34.6370469069754,-58.3989650019364 -34.6370933569294,-58.3997008403736 -34.6372162975954,-58.4005211701209 -34.6373603344402,-58.4015657603848 -34.6375772014063,-58.4018445612293 -34.6376318275773,-58.4057136362253 -34.6384176707175)",30,H,2005,2011,,817.00
"LINESTRING (-58.4057158714216 -34.6384181274254,-58.4068393598161 -34.638626137644,-58.4071936057117 -34.6386926154852,-58.4073615018281 -34.6387266974861,-58.4074499615989 -34.6387347792123,-58.4075359931312 -34.6387358085077,-58.4077959045336 -34.6387174135889,-58.4081323673802 -34.6386762165182,-58.4085864181047 -34.6385978881193,-58.4088474708952 -34.6385293450642,-58.4091713138654 -34.6384290101409,-58.4093681558946 -34.6383909230383,-58.4095697972007 -34.6383635956112,-58.4098130051818 -34.6383559391917,-58.4100349604298 -34.6383723561447,-58.4102518166364 -34.638403201905,-58.4104649109873 -34.6384658859837,-58.4107498593383 -34.6385705971914,-58.4108677684903 -34.6386298515667,-58.4109952090383 -34.6387098780799,-58.4111699763055 -34.638845126833,-58.4113333804774 -34.6389896154623,-58.4114507802906 -34.6391389762947,-58.4117055461405 -34.6395917389953,-58.4122188531875 -34.6408647480847,-58.4125578810989 -34.6416655069585)",31,H,2005,2013,,842.00
"LINESTRING (-58.4125578810989 -34.6416655069585,-58.4132717295906 -34.6431021105767,-58.4140053849978 -34.6446465633816,-58.4147821966054 -34.6461199800483,-58.4154079615115 -34.6471495809731,-58.4161416169186 -34.6481969205194,-58.4162325840777 -34.6483402602585,-58.4162679375263 -34.6484137132034,-58.4162863834253 -34.6484997536402,-58.4162949225729 -34.6485956735763,-58.4162990645828 -34.648708397708)",32,H,2012,,2014,856.30
